timestamp,binance_vol,coinbase_vol,kucoin_vol,kraken_vol
2023-05-28/13:30:02,304205603.15,22032881.09,11189817.68,11313910.64
2023-05-28/14:30:03,230544156.7,16376264.28,11678371.47,11395830.23
2023-05-28/15:30:05,180462335.19,14223420.76,10756044.02,19459551.06
2023-05-28/16:30:01,177591693.05,14457866.32,9049999.48,8664441.88
2023-05-28/17:30:03,258614637.12,15051400.24,10468345.68,9837545.02
2023-05-28/18:30:04,268038461.86,25804326.42,12215141.55,9709869.79
2023-05-28/19:30:05,268181405.83,29095086.72,11014525.56,9587861.41
2023-05-28/20:30:01,561435383.01,65487772.28,14026669.57,35820152.19
2023-05-28/21:30:03,269065906.33,29347154.08,12087069.2,19033603.75
2023-05-28/22:30:04,151706972.63,18491421.09,10100884,7329664.58
2023-05-28/23:30:05,321929391.35,43138702.12,11637155.79,21079992.6
2023-05-29/00:30:02,925590931.87,108150821.94,22502874.45,51291238.9
2023-05-29/01:30:03,485384457.46,67713691.43,15771683.08,23954883.78
2023-05-29/02:30:04,689484081.92,152204006.53,19153063.87,30338863.63
2023-05-29/03:30:01,331006977.64,39145242.08,14490153.04,12073484.5
2023-05-29/04:30:02,286720033.92,34277779.16,12575908.36,14145087.27
2023-05-29/05:30:03,352596237.93,43942863.01,13168070.86,15566865.38
2023-05-29/06:30:04,404078096.02,39311865.15,15845865.58,12282984.15
2023-05-29/07:30:06,247626542,31374105.24,10686448.57,11487015.48
2023-05-29/08:30:02,214800612.98,17831699.55,10051246,17336320.11
2023-05-29/09:30:05,335449809.28,24507370.14,12499420.2,16273219.74
2023-05-29/10:30:01,272167734.81,20943813.11,12892663.94,17605000.96
2023-05-29/11:30:02,225581047.65,22941279,11581003.96,26049086.35
2023-05-29/12:30:04,302899835.64,28578515.24,13135269.38,23452773.88
2023-05-29/13:30:05,234684573.56,14336928.29,12506848.42,12841265.09
2023-05-29/14:30:01,228262061.74,17906388.83,13048070.6,15621220.16
2023-05-29/15:30:02,249754878.26,22878473.47,13424162.17,16701165.65
2023-05-29/16:30:04,350068333.09,36396329.46,15837321.74,19986025.35
2023-05-29/17:30:05,485514874.57,57502592.02,18119666.12,31429581.44
2023-05-29/18:30:01,495550687.47,49480079.28,19566814.89,21977683.63
2023-05-29/19:30:03,344363563.15,37159445.83,15963215.44,17366310.31
2023-05-29/20:30:04,221254748.23,24940859.46,12846973.23,9659964.34
2023-05-29/21:30:05,208543187.72,17439196.85,12965318.86,12497671.89
2023-05-29/22:30:01,162381831.95,19159909.53,11700913.09,8167412.85
2023-05-29/23:30:06,145918970.75,18814367.46,10975047.69,6539544.79
2023-05-30/00:30:02,217825653.63,29353840.37,10799532.89,9536329.24
2023-05-30/01:30:03,211742237.52,34506259.52,10868860.16,9669807.37
2023-05-30/02:30:05,257399767.56,23469380.17,13803806.24,9617635.39
2023-05-30/03:30:03,206284011.96,21272501.62,10930853.8,11689435.67
2023-05-30/04:30:05,162568789.5,16365373.91,9701477.45,5254712.27
2023-05-30/05:30:01,256656068.69,35105218.47,11258226.84,7141379.32
2023-05-30/06:30:02,195866391.36,19991201.82,10388914.17,11712735.48
2023-05-30/07:30:03,229337150.91,20973115.91,11170120.01,18791712.03
2023-05-30/08:30:05,203676023.88,13601694.64,10799301.92,18462659.12
2023-05-30/09:30:01,255576744.75,19278549.15,11062749.33,26261271.77
2023-05-30/10:30:02,280523190.29,23925018.57,11829435.09,33304110.36
2023-05-30/11:30:04,279663056.62,26560939.46,12361607.51,38551826.86
2023-05-30/12:30:05,434323212.04,41553278.04,16370656.81,42678767.67
2023-05-30/13:30:01,360062716.04,50405002.3,15144846.59,30216544.56
2023-05-30/14:30:03,427339037.08,62529647.83,17342775.99,35589077.35
2023-05-30/15:30:04,474563216.56,70419829.18,17119282.21,44707962.25
2023-05-30/16:30:05,542191310.31,93736741.89,18215370.39,47604819.85
2023-05-30/17:30:01,415323611.27,63659012.46,17607817.85,29522643.27
2023-05-30/18:30:03,476436701.94,67910040.81,18437527.72,26493293.71
2023-05-30/19:30:04,312788664.2,50212938.65,14347107.82,14868624.44
2023-05-30/20:30:01,281748956.99,48324145.71,13829707.97,18261156.8
2023-05-30/21:30:02,275097666.89,42514600.28,14173111.56,15777236.42
2023-05-30/22:30:03,233258830.03,36967913.86,14189042.49,12750926.34
2023-05-30/23:30:02,235865626.4,31743503.1,10523233.51,19738651.1
